DATAFLOW,LAST UPDATE,freq,indic,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Austria,2022-Q3,173.59,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Austria,2022-Q4,166.32,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Austria,2023-Q1,164.35,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Austria,2023-Q2,164.68,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Austria,2023-Q3,164.29,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Austria,2023-Q4,161.40,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Austria,2024-Q1,159.54,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Austria,2024-Q2,164.34,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Austria,2024-Q3,165.13,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Austria,2024-Q4,163.23,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Austria,2025-Q1,165.17,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Austria,2025-Q2,167.84,p,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Belgium,2022-Q3,134.96,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Belgium,2022-Q4,134.55,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Belgium,2023-Q1,135.04,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Belgium,2023-Q2,134.55,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Belgium,2023-Q3,136.31,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Belgium,2023-Q4,138.28,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Belgium,2024-Q1,139.36,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Belgium,2024-Q2,138.96,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Belgium,2024-Q3,141.16,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Belgium,2024-Q4,142.18,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Belgium,2025-Q1,143.08,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Belgium,2025-Q2,143.00,p,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Bulgaria,2022-Q3,174.43,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Bulgaria,2022-Q4,175.14,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Bulgaria,2023-Q1,177.93,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Bulgaria,2023-Q2,185.50,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Bulgaria,2023-Q3,190.48,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Bulgaria,2023-Q4,192.78,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Bulgaria,2024-Q1,206.42,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Bulgaria,2024-Q2,213.53,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Bulgaria,2024-Q3,221.91,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Bulgaria,2024-Q4,228.00,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Bulgaria,2025-Q1,237.55,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Bulgaria,2025-Q2,246.65,p,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Cyprus,2022-Q3,109.95,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Cyprus,2022-Q4,108.27,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Cyprus,2023-Q1,110.31,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Cyprus,2023-Q2,110.15,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Cyprus,2023-Q3,110.65,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Cyprus,2023-Q4,109.95,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Cyprus,2024-Q1,111.53,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Cyprus,2024-Q2,112.86,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Cyprus,2024-Q3,113.62,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Cyprus,2024-Q4,112.47,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Cyprus,2025-Q1,113.71,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Cyprus,2025-Q2,113.99,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Czechia,2022-Q3,219.40,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Czechia,2022-Q4,214.50,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Czechia,2023-Q1,211.80,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Czechia,2023-Q2,211.00,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Czechia,2023-Q3,211.70,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Czechia,2023-Q4,212.30,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Czechia,2024-Q1,214.30,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Czechia,2024-Q2,219.90,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Czechia,2024-Q3,224.70,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Czechia,2024-Q4,230.20,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Czechia,2025-Q1,235.60,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Czechia,2025-Q2,243.00,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Germany,2022-Q3,166.30,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Germany,2022-Q4,158.50,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Germany,2023-Q1,153.70,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Germany,2023-Q2,151.60,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Germany,2023-Q3,149.30,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Germany,2023-Q4,146.40,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Germany,2024-Q1,145.80,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Germany,2024-Q2,147.80,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Germany,2024-Q3,149.00,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Germany,2024-Q4,149.20,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Germany,2025-Q1,150.90,p,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Germany,2025-Q2,152.50,p,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Denmark,2022-Q3,144.39,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Denmark,2022-Q4,140.99,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Denmark,2023-Q1,135.13,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Denmark,2023-Q2,135.67,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Denmark,2023-Q3,138.07,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Denmark,2023-Q4,140.26,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Denmark,2024-Q1,136.66,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Denmark,2024-Q2,140.94,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Denmark,2024-Q3,145.27,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Denmark,2024-Q4,145.50,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Denmark,2025-Q1,148.65,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Denmark,2025-Q2,151.21,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022-Q3,146.79,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022-Q4,144.21,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023-Q1,142.91,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023-Q2,143.16,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023-Q3,143.45,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023-Q4,142.36,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2024-Q1,142.51,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2024-Q2,145.14,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2024-Q3,147.41,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2024-Q4,148.25,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2025-Q1,150.05,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2025-Q2,152.59,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),2022-Q3,146.90,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),2022-Q4,144.40,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),2023-Q1,143.09,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),2023-Q2,143.35,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),2023-Q3,143.63,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),2023-Q4,142.55,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),2024-Q1,142.69,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),2024-Q2,145.33,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),2024-Q3,147.60,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),2024-Q4,148.44,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),2025-Q1,150.25,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),2025-Q2,152.79,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2022-Q3,190.94,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2022-Q4,191.38,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2023-Q1,191.43,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2023-Q2,198.79,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2023-Q3,198.26,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2023-Q4,202.40,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2024-Q1,206.38,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2024-Q2,212.10,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2024-Q3,211.03,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2024-Q4,209.64,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2025-Q1,215.90,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2025-Q2,223.74,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2022-Q3,144.15,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2022-Q4,142.99,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2023-Q1,143.98,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2023-Q2,146.97,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2023-Q3,150.68,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2023-Q4,149.13,,
